query,MAPPED_TERM_LABEL,Type,Levenshtein,Zooma,SciSpacy,Spacy,GUSE,BlueBERT,BioSentVec,BioBERT,BLUEBERT-EFO
subarachnoid haemorrhage,subarachnoid hemorrhage,disease,subarachnoid hemorrhage (1) [1.0],subarachnoid hemorrhage (1) [1.0],subarachnoid hemorrhage (1) [1.0],subarachnoid hemorrhage (1) [1.0],subarachnoid hemorrhage (1) [1.0],subarachnoid hemorrhage (1) [1.0],subarachnoid hemorrhage (1) [1.0],subarachnoid hemorrhage (1) [1.0],subarachnoid hemorrhage (1) [1.0]
hookworm diseases,hookworm infectious disease,infection,hookworm infectious disease (1) [1.0],hookworm infectious disease (1) [1.0],hookworm infectious disease (1) [1.0],hookworm infectious disease (1) [1.0],hookworm infectious disease (1) [1.0],hookworm infectious disease (1) [1.0],hookworm infectious disease (1) [1.0],hookworm infectious disease (1) [1.0],hookworm infectious disease (1) [1.0]
bph / benign prostatic hypertrophy,benign prostatis hypertrophy,disease,benign prostatic hyperplasia (1) [1.0],benign prostatic hyperplasia (1) [1.0],benign prostatic hyperplasia (1) [1.0],benign prostatic hyperplasia (1) [1.0],benign prostatic hyperplasia (1) [1.0],benign prostatic hyperplasia (1) [1.0],benign prostatic hyperplasia (1) [1.0],benign prostatic hyperplasia (1) [1.0],benign prostatic hyperplasia (1) [1.0]
erectile dysfunction / impotence,erectile dysfunction,disease,erectile dysfunction (1) [1.0],erectile dysfunction (1) [1.0],erectile dysfunction (1) [1.0],erectile dysfunction (1) [1.0],erectile dysfunction (1) [1.0],erectile dysfunction (1) [1.0],erectile dysfunction (1) [1.0],erectile dysfunction (1) [1.0],erectile dysfunction (1) [1.0]
disc degeneration,lumbar disc degeneration,symptom,lumbar disc degeneration (1) [1.0],lumbar disc degeneration (1) [1.0],lumbar disc degeneration (1) [1.0],lumbar disc degeneration (1) [1.0],lumbar disc degeneration (1) [1.0],lumbar disc degeneration (1) [1.0],lumbar disc degeneration (1) [1.0],lumbar disc degeneration (1) [1.0],lumbar disc degeneration (1) [1.0]
plantar fascitis,plantar fasciitis,disease,plantar fasciitis (1) [1.0],plantar fasciitis (1) [1.0],plantar fasciitis (1) [1.0],plantar fasciitis (1) [1.0],plantar fasciitis (1) [1.0],plantar fasciitis (1) [1.0],plantar fasciitis (1) [1.0],plantar fasciitis (1) [1.0],plantar fasciitis (1) [1.0]
whooping cough / pertussis,whooping cough,infection,whooping cough (1) [1.0],whooping cough (1) [1.0],whooping cough (1) [1.0],whooping cough (1) [1.0],whooping cough (1) [1.0],whooping cough (1) [1.0],whooping cough (1) [1.0],whooping cough (1) [1.0],whooping cough (1) [1.0]
dysmenorrhoea / dysmenorrhea,dysmenorrhea,disease,dysmenorrhea (1) [1.0],dysmenorrhea (1) [1.0],dysmenorrhea (1) [1.0],dysmenorrhea (1) [1.0],dysmenorrhea (1) [1.0],dysmenorrhea (1) [1.0],dysmenorrhea (1) [1.0],dysmenorrhea (1) [1.0],dysmenorrhea (1) [1.0]
pulse wave reflection index,reflection wave amplitude,quanttrait,pulse wave reflection index measurement (1) [1.0],pulse wave reflection index measurement (1) [1.0],pulse wave reflection index measurement (1) [1.0],pulse wave reflection index measurement (1) [1.0],pulse wave reflection index measurement (1) [1.0],pulse wave reflection index measurement (1) [1.0],pulse wave reflection index measurement (1) [1.0],pulse wave reflection index measurement (1) [1.0],pulse wave reflection index measurement (1) [1.0]
fracture pelvis,facture of pelvis,injury,fracture of pelvis (1) [1.0],fracture of pelvis (1) [1.0],fracture of pelvis (1) [1.0],fracture of pelvis (1) [1.0],fracture of pelvis (1) [1.0],fracture of pelvis (1) [1.0],fracture of pelvis (1) [1.0],fracture of pelvis (1) [1.0],fracture of pelvis (1) [1.0]
cervical spondylosis,"spondylosis, cervical",disease,cervical spondylosis (1) [1.0],cervical spondylosis (1) [1.0],cervical spondylosis (1) [1.0],cervical spondylosis (1) [1.0],cervical spondylosis (1) [1.0],cervical spondylosis (1) [1.0],cervical spondylosis (1) [1.0],cervical spondylosis (1) [1.0],cervical spondylosis (1) [1.0]
number of self-reported non-cancer illnesses,disease,quanttrait,"number of non-cancer illnesses, self-reported (1) [1.0]","number of non-cancer illnesses, self-reported (1) [1.0]","number of non-cancer illnesses, self-reported (1) [1.0]","number of non-cancer illnesses, self-reported (1) [1.0]","number of non-cancer illnesses, self-reported (1) [1.0]","number of non-cancer illnesses, self-reported (1) [1.0]","number of non-cancer illnesses, self-reported (1) [1.0]","number of non-cancer illnesses, self-reported (1) [1.0]","number of non-cancer illnesses, self-reported (1) [1.0]"
father's age at death,age at death,quanttrait,father's age at death (1) [1.0],father's age at death (1) [1.0],father's age at death (1) [1.0],father's age at death (1) [1.0],father's age at death (1) [1.0],father's age at death (1) [1.0],father's age at death (1) [1.0],father's age at death (1) [1.0],father's age at death (1) [1.0]
"seen a psychiatrist for nerves, anxiety, tension or depression",mental or behavioural disorder,symptom,"seeing a psychiatrist for nerves, anxiety, tension or depression, self-reported (1) [1.0]","seeing a psychiatrist for nerves, anxiety, tension or depression, self-reported (1) [1.0]","seeing a psychiatrist for nerves, anxiety, tension or depression, self-reported (1) [1.0]","seeing a psychiatrist for nerves, anxiety, tension or depression, self-reported (1) [1.0]","seeing a psychiatrist for nerves, anxiety, tension or depression, self-reported (1) [1.0]","seeing a psychiatrist for nerves, anxiety, tension or depression, self-reported (1) [1.0]","seeing a psychiatrist for nerves, anxiety, tension or depression, self-reported (1) [1.0]","seeing a psychiatrist for nerves, anxiety, tension or depression, self-reported (1) [1.0]","seeing a psychiatrist for nerves, anxiety, tension or depression, self-reported (1) [1.0]"
relative age of first facial hair,puberty onset measurement,quanttrait,age at first facial hair (1) [1.0],age at first facial hair (1) [1.0],age at first facial hair (1) [1.0],age at first facial hair (1) [1.0],age at first facial hair (1) [1.0],age at first facial hair (1) [1.0],age at first facial hair (1) [1.0],age at first facial hair (1) [1.0],age at first facial hair (1) [1.0]
number of children fathered,number of children ever born measurement,quanttrait,number of children fathered measurement (1) [1.0],number of children fathered measurement (1) [1.0],number of children fathered measurement (1) [1.0],number of children fathered measurement (1) [1.0],number of children fathered measurement (1) [1.0],number of children fathered measurement (1) [1.0],number of children fathered measurement (1) [1.0],number of children fathered measurement (1) [1.0],number of children fathered measurement (1) [1.0]
bilateral oophorectomy (both ovaries removed),bilateral oophorectomy,treatment,bilateral oophorectomy (1) [1.0],bilateral oophorectomy (1) [1.0],bilateral oophorectomy (1) [1.0],bilateral oophorectomy (1) [1.0],bilateral oophorectomy (1) [1.0],bilateral oophorectomy (1) [1.0],bilateral oophorectomy (1) [1.0],bilateral oophorectomy (1) [1.0],bilateral oophorectomy (1) [1.0]
mother's age at death,age at death,quanttrait,mother's age at death (1) [1.0],mother's age at death (1) [1.0],mother's age at death (1) [1.0],mother's age at death (1) [1.0],mother's age at death (1) [1.0],mother's age at death (1) [1.0],mother's age at death (1) [1.0],mother's age at death (1) [1.0],mother's age at death (1) [1.0]
health satisfaction,satisfaction,symptom,health satisfaction measurement (1) [1.0],health satisfaction measurement (1) [1.0],health satisfaction measurement (1) [1.0],health satisfaction measurement (1) [1.0],health satisfaction measurement (1) [1.0],health satisfaction measurement (1) [1.0],health satisfaction measurement (1) [1.0],health satisfaction measurement (1) [1.0],health satisfaction measurement (1) [1.0]
cochlear implant,cochlear implants,treatment,cochlear implant (1) [1.0],cochlear implant (1) [1.0],cochlear implant (1) [1.0],cochlear implant (1) [1.0],cochlear implant (1) [1.0],cochlear implant (1) [1.0],cochlear implant (1) [1.0],cochlear implant (1) [1.0],cochlear implant (1) [1.0]
