query,MAPPED_TERM_LABEL,Type,Levenshtein,Zooma,SciSpacy,Spacy,GUSE,BlueBERT,BioSentVec,BioBERT,BLUEBERT-EFO
high cholesterol,hypercholesterolemia,disease,hdl cholesterol (7) [0.07],nhdl cholesterol (>100) [0.07],high density lipoprotein cholesterol measurement (>100) [0.07],nhdl cholesterol (>100) [0.07],cholesterol (34) [0.08],cholesterol (4) [0.08],cholesterol (4) [0.08],cholesterol (3) [0.08],chemical entity (>100) [0.1]
anal problem,abnormality of the anus,disease,analyte role (>100) [0.18],anal melanoma (>100) [0.03],anal region (41) [0.07],anal region (22) [0.07],anal neoplasm (9) [0.08],anal region (>100) [0.07],anal region (33) [0.07],pons (>100) [0.07],anal neoplasm (>100) [0.08]
number of spontaneous miscarriages,spontaneous abortion,complication,number of pregnancies measurement (8) [0.07],apnea (>100) [0.13],number of stillbirths (2) [0.08],number of stillbirths (4) [0.08],spontaneous preterm birth (2) [0.14],number of pregnancies measurement (52) [0.07],number of stillbirths (2) [0.08],number of pregnancies measurement (41) [0.07],measurement (>100) [0.08]
wegners granulmatosis,granulomatosis with polyangiitis,disease,farber lipogranulomatosis (94) [0.12],nan (>100) [0.0],syndrome associated with pierre robin syndrome (>100) [0.08],syndrome associated with pierre robin syndrome (>100) [0.08],synpolydactyly (>100) [0.08],farber lipogranulomatosis (13) [0.12],serositis (44) [0.11],farber lipogranulomatosis (>100) [0.12],type ii hypersensitivity reaction disease (2) [0.12]
congenital septal defect,Abnormal cardiac septum morphology,disease,heart septal defect (>100) [0.11],heart septal defect (>100) [0.11],heart septal defect (79) [0.11],ventricular septal defect (>100) [0.11],ventricular septal defect (>100) [0.11],heart septal defect (22) [0.11],ventricular septal defect (>100) [0.11],congenital mitral malformation (35) [0.09],heart septal defect (>100) [0.11]
congenital malformations of larynx,Abnormal larynx morphology,disease,congenital limb malformation (>100) [0.14],larynx atresia (>100) [0.08],congenital limb malformation (>100) [0.14],congenital limb malformation (>100) [0.14],dysplasia of larynx (60) [0.1],dysplasia of larynx (>100) [0.1],larynx anomaly (5) [0.09],congenital anomaly of cardiovascular system (>100) [0.14],congenital laryngomalacia (>100) [0.08]
melanoma in situ,Clark level I melanoma,disease,adenocarcinoma in situ (>100) [0.15],in situ oligo (>100) [0.09],adenocarcinoma in situ (>100) [0.15],in situ carcinoma (>100) [0.18],squamous carcinoma in situ (>100) [0.1],squamous carcinoma in situ (>100) [0.1],melanoma (>100) [0.09],breast carcinoma in situ (>100) [0.11],melanoma (>100) [0.09]
venous thromboembolic disease,venous thrombosis,disease,venous thromboembolism (5) [0.14],nan (>100) [0.0],venous thromboembolism (2) [0.14],pulmonary venoocclusive disease (33) [0.1],vascular hemostatic disease (>100) [0.12],venous thromboembolism (2) [0.14],venous thromboembolism (2) [0.14],venous thromboembolism (2) [0.14],venous thromboembolism (>100) [0.14]
other septicaemia,sepsis,disease,lower epidermis (>100) [0.08],erythematosquamous dermatosis (>100) [0.14],viral hemorrhagic septicemia (28) [0.12],viral hemorrhagic septicemia (12) [0.12],other epidermal disorder (>100) [0.13],pericardial tuberculosis (17) [0.08],bacteriemia (2) [0.17],septicemic plague (58) [0.11],inflammation of heart layer (>100) [0.12]
eczema/dermatitis,eczema,disease,dermatitis (66) [0.1],contact dermatitis (>100) [0.08],atopic eczema (2) [0.08],photoallergic dermatitis (5) [0.06],hcc1534 (>100) [0.06],contact dermatitis (3) [0.08],syndromic oculocutaneous albinism (>100) [0.04],exfoliative dermatitis (8) [0.09],abnormality of skin morphology (2) [0.54]
excessive vomiting in pregnancy,hyperemesis gravidarum,complication,toxemia of pregnancy (>100) [0.4],nausea and vomiting of pregnancy severity measurement (>100) [0.08],nausea and vomiting of pregnancy severity measurement (>100) [0.08],nausea and vomiting of pregnancy severity measurement (>100) [0.08],vomiting (8) [0.12],spontaneous labor and birth (>100) [0.08],vomiting (20) [0.12],nausea and vomiting of pregnancy severity measurement (>100) [0.08],nausea (>100) [0.12]
"other disorders of fluid, electrolyte and acid-base balance",abnormality of metabolism/homeostasis,disease,disorder of acid-base balance (>100) [0.15],nan (>100) [0.0],disorder of acid-base balance (>100) [0.15],disorder of acid-base balance (>100) [0.15],disorder of acid-base balance (>100) [0.15],disorder of acid-base balance (19) [0.15],disorder of acid-base balance (>100) [0.15],disorder of acid-base balance (8) [0.15],disorder of acid-base balance (>100) [0.15]
suffer from 'nerves',nervousness,symptom,terminal nerve (>100) [0.05],nerve (>100) [0.07],rhamphochromis sp. 'chilingali' (>100) [0.07],rhamphochromis sp. 'chilingali' (>100) [0.07],nerve (6) [0.07],has extra parts of type (81) [0.15],nerve (>100) [0.07],"feeling ""fed-up"" measurement (>100) [0.06]",brain disease (13) [0.73]
hyperhidrosis,hypohidrosis,disease,hyperhidrosis (2) [0.15],hyperhidrosis (>100) [0.15],hyperhidrosis (13) [0.15],hyperhidrosis (>100) [0.15],hyperhidrosis (>100) [0.15],hyperhidrosis (9) [0.15],hyperhidrosis (5) [0.15],hyperhidrosis (2) [0.15],hyperhidrosis (>100) [0.15]
congenital malformations of anterior segment of eye,Anterior segment developmental abnormality,disease,congenital deformities of fingers (>100) [0.09],abnormal morphology of the posterior segment of the globe (>100) [0.82],"deafness, congenital heart defects, and posterior embryotoxon (5) [0.14]",congenital pseudoarthrosis of the femur (12) [0.06],familial ocular anterior segment mesenchymal dysgenesis (21) [0.07],genetic developmental defect of the eye (>100) [0.07],familial ocular anterior segment mesenchymal dysgenesis (5) [0.07],congenital deformities of limbs (>100) [0.1],eye disease (>100) [0.1]
ever manic/hyper for 2 days,manic episode measurement,symptom,microgram per day (>100) [0.22],autosomal recessive hyper-ige syndrome (>100) [0.04],juvenile days 30-44 (>100) [0.11],"nap during day, self-reported (>100) [0.11]",gro-seq (>100) [0.07],amaurosis - hypertrichosis (26) [0.04],24 hr schistosomulum (>100) [0.11],manic or hypomanic episode (2) [0.08],mental or behavioural disorder biomarker (4) [0.8]
irregular heart beat,cardiac arrhythmia,disease,irregular respiration (>100) [0.13],palpitations (>100) [0.12],abnormal heart morphology (58) [0.12],heart (>100) [0.06],heart rate (8) [0.06],irregular respiration (47) [0.13],irregular respiration (35) [0.13],premature cardiac contractions (23) [0.91],abnormality of the cardiovascular system (>100) [0.14]
low platelets/platelet disorder,thrombocytopenia,disease,quebec platelet disorder (>100) [0.07],hellp syndrome (>100) [0.08],cerebelloparenchymal disorder (>100) [0.18],blood platelet disease (>100) [0.13],mild neurocognitive disorder (>100) [0.33],quebec platelet disorder (5) [0.07],stag1-related disorder (>100) [0.18],platelet larger cell ratio (>100) [0.08],phenotypic abnormality (25) [0.71]
other venous embolism and thrombosis,venous thromboembolism,disease,venous thrombosis (6) [0.14],nan (>100) [0.0],venous thrombosis (2) [0.14],venous thrombosis (2) [0.14],venous thrombosis (>100) [0.14],venous thrombosis (3) [0.14],venous thrombosis (6) [0.14],venous thrombosis (2) [0.14],vascular disease (5) [0.88]
other disorders of synovium and tendon,tenosynovitis,disease,disorder of iron metabolism and transport (>100) [0.16],nan (>100) [0.0],"primary bone dysplasia with progressive ossification of skin, skeletal muscle, fascia, tendons and ligaments (>100) [0.28]","congenital anomalies of kidney and urinary tract syndrome with or without hearing loss, abnormal ears, or developmental delay (>100) [0.16]",other epidermal disorder (>100) [0.18],synovium disease (>100) [0.25],synovium disease (29) [0.25],acute synovitis (>100) [0.31],synovitis (15) [0.32]
ever highly irritable/argumentative for 2 days,irritability measurement,symptom,periorbital hyperpigmentation (68) [0.06],cot filtration for highly repetitive genomic dna (>100) [0.22],larval day 7-13 (>100) [0.09],"ability to walk or cycle unaided for 10 minutes, self-reported (>100) [0.1]",microgram per day (>100) [0.2],"nap during day, self-reported (>100) [0.1]",24 hr schistosomulum (>100) [0.1],fear of severe pain measurement (14) [0.38],mental or behavioural disorder biomarker (62) [0.67]
other congenital malformations of ear,Abnormal ear morphology,disease,congenital limb malformation (>100) [0.15],abnormality of the outer ear (>100) [0.88],renal-genital-middle ear anomalies (>100) [0.07],congenital heart defects and skeletal malformations syndrome (>100) [0.18],ear malformation (97) [0.18],genetic cerebral malformation (99) [0.09],renal-genital-middle ear anomalies (35) [0.07],congenital anomaly of cardiovascular system (>100) [0.15],ear malformation (>100) [0.18]
hyperfunction of pituitary gland,hyperpituitarism,symptom,duplication of the pituitary gland (34) [0.25],adrenal gland hyperfunction (>100) [0.33],adrenal gland hyperfunction (>100) [0.33],pituitary gland (>100) [0.05],pituitary gland (>100) [0.05],duplication of the pituitary gland (46) [0.25],pituitary gland (72) [0.05],adrenal gland hyperfunction (29) [0.33],adrenal gland hyperfunction (3) [0.33]
other diseases of blood and blood-forming organs,hematologic disease,disease,atc code b blood and blood forming organs (>100) [0.11],atc code b blood and blood forming organs (>100) [0.11],abnormality of blood and blood-forming tissues (>100) [0.2],abnormality of blood and blood-forming tissues (>100) [0.2],other metabolic disease (>100) [0.31],abnormality of blood and blood-forming tissues (>100) [0.2],abnormality of blood and blood-forming tissues (42) [0.2],abnormality of blood and blood-forming tissues (>100) [0.2],vascular disease (4) [0.62]
abnormalities of heart beat,cardiac arrythmia,symptom,abnormality of the breast (>100) [0.12],palpitations (>100) [0.12],abnormal heart morphology (64) [0.12],abnormality of the kidney (>100) [0.13],cardiac anomalies - heterotaxy (8) [0.64],inflammation of heart layer (>100) [0.75],abnormality of cardiovascular system electrophysiology (>100) [0.12],abnormality of cardiovascular system morphology (>100) [0.13],abnormal heart morphology (>100) [0.12]
acute hepatitis a,hepatitis A,disease,autoimmune hepatitis (>100) [0.46],hepatitis c virus infection (>100) [0.8],chronic hepatitis (8) [0.07],chronic hepatitis (3) [0.07],drug-induced hepatitis (21) [0.07],"hepatitis, alcoholic (12) [0.5]",hepatitis (8) [0.08],hepatitis (7) [0.08],disease (21) [0.22]
arterial embolism and thrombosis,venous thromboembolism,disease,portal vein thrombosis (>100) [0.13],nan (>100) [0.0],venous thrombosis (5) [0.14],venous thrombosis (5) [0.14],venous thrombosis (>100) [0.14],intracranial thrombosis (6) [0.44],intracranial embolism (9) [0.47],venous thrombosis (2) [0.14],arterial disorder (32) [0.78]
other disorders of urethra,urethral disease,disease,atresia of urethra (>100) [0.26],glaucoma (>100) [0.29],"46,xx disorder of sex development - anorectal anomalies (13) [0.17]",abnormality of the bladder (>100) [0.17],other epidermal disorder (5) [0.42],duplication of urethra (2) [0.26],urethra (6) [0.08],abnormality of the ureter (3) [0.17],urethritis (5) [0.58]
years of cough on most days,cough,quanttrait,nuclear oculomotor paralysis (>100) [0.07],"bringing up phlegm, sputum or mucus on most days, self-reported (>100) [0.33]","bringing up phlegm, sputum or mucus on most days, self-reported (12) [0.33]","ease of getting up in the morning, self-reported (>100) [0.33]","bringing up phlegm, sputum or mucus on most days, self-reported (14) [0.33]",episodic abdominal pain (>100) [0.33],juvenile days 30-44 (3) [0.09],acute episodes of neuropathic symptoms (>100) [0.56],measurement (>100) [0.11]
hearing difficulty/problems: yes,hearing loss,disease,feeding difficulties (3) [0.12],hearing abnormality (>100) [0.12],hearing abnormality (2) [0.12],able to hear with hearing aids (50) [0.07],hearing disorder (2) [0.91],hearing abnormality (44) [0.12],hearing measurement (5) [0.07],hearing abnormality (69) [0.12],hearing disorder (3) [0.91]
other non-infective disorders of lymphatic vessels and lymph nodes,lymphatic system disease,disease,hemolytic anemia due to a disorder of glycolytic enzymes (>100) [0.14],nan (>100) [0.0],lymph node disease (23) [0.89],secondary interstitial lung disease specific to childhood associated with a connective tissue disease (4) [0.28],"cd103-positive, langerin-positive lymph node dendritic cell (31) [0.06]",lymphatic part of lymphoid system (27) [0.07],lymphatic vessel neoplasm (5) [0.5],abnormality of the lymphatic system (34) [0.15],lymphatic vessel neoplasm (88) [0.5]
longest period of depression,depressive episode measurement,quanttrait,postpartum depression (>100) [0.05],period of infection (>100) [0.38],period of infection (5) [0.38],period of infection (>100) [0.38],unipolar depression (11) [0.06],period of infection (>100) [0.38],unipolar depression (8) [0.06],period of infection (5) [0.38],measurement (5) [0.6]
hearing difficulty/problems: i am completely deaf,deafness,disease,feeding difficulties in infancy (>100) [0.11],"deaf blind hypopigmentation syndrome, yemenite type (>100) [0.33]",able to hear with hearing aids (68) [0.06],able to hear with hearing aids (>100) [0.06],hearing loss (5) [0.92],severe sensorineural hearing impairment (86) [0.11],hearing measurement (9) [0.07],"intellectual disability, buenos-aires type (>100) [0.19]",hearing disorder (2) [0.83]
bowel / intestinal obstruction,gastrointestinal obstruction,disease,intestinal obstruction (2) [0.12],intestinal pseudo-obstruction (>100) [0.9],intestinal obstruction (3) [0.12],intestinal obstruction (2) [0.12],intestinal obstruction (2) [0.12],intestinal pseudo-obstruction (23) [0.9],intestinal obstruction (4) [0.12],intestinal obstruction (2) [0.12],intestinal obstruction (>100) [0.12]
gynaecological disorder (not cancer),female reproductive system disease,disease,congenital hematological disorder (>100) [0.5],lip cancer (>100) [0.18],hereditary breast and ovarian cancer syndrome (>100) [0.15],primary congenital glaucoma (disease) (>100) [0.17],oropharynx cancer (>100) [0.17],hereditary site-specific ovarian cancer syndrome (>100) [0.23],cancer (>100) [0.33],"genital neoplasm, female (>100) [0.62]",endocrine neoplasm (6) [0.38]
other congenital malformations of intestine,Intestinal malformation,disease,congenital deformities of fingers (93) [0.56],volvulus of midgut (>100) [0.42],congenital heart malformation (8) [0.32],congenital heart defects and skeletal malformations syndrome (50) [0.42],abnormality of the intestine (14) [0.11],complex vascular malformation with associated anomalies (2) [0.25],intestine (2) [0.06],congenital anomaly of cardiovascular system (8) [0.36],congenital intestinal disease due to an enzymatic defect (19) [0.24]
burns classified according to extent of body surface involved,burn,injury,unclassified intestinal pseudoobstruction (>100) [0.21],respiratory system disease (>100) [0.5],skin of body (>100) [0.08],not notch3-related small vessel disease of the brain (>100) [0.25],t-lymphocyte surface antigen ly-9 measurement (>100) [0.09],disease by subcellular system affected (>100) [0.57],eye burns (2) [0.86],skin of abdomen (>100) [0.08],material property (>100) [0.33]
"dislocation, sprain and strain of joints and ligaments at neck level",neck injury,injury,ossification of the posterior longitudinal ligament of the spine (>100) [0.31],nan (>100) [0.0],ankle fracture (>100) [0.36],"primary bone dysplasia with progressive ossification of skin, skeletal muscle, fascia, tendons and ligaments (44) [0.2]",congenital patella dislocation (61) [0.25],congenital joint dislocations (>100) [0.27],sprain (22) [0.71],ossification of the posterior longitudinal ligament of the spine (>100) [0.31],genetic disorder (>100) [0.57]
